"Age (in completed years)","Gender","Marital status","Place of current residence","Highest educational qualification completed before first migration","Field of study before migration (if applicable)","Did you obtain any formal educational qualification obtained abroad?","If yes, level of qualification obtained abroad","Country where qualification was obtained","Did you obtain any certification or skill development course abroad","If yes, what is the qualification","Did you pursue any further education or certification after returning","If yes, type of education","If yes, type of education/Degree program","If yes, type of education/Professional certification","If yes, type of education/Skill development course","Field/area of the education","Have you ever lived abroad for at least 6 months","If yes, Primary reason for going abroad","Country/countries of stay abroad","Total duration of stay abroad (in years)","Years of return to India","What is your age at return to India (in years)","Main reason for returning India","Did you work while abroad","Total years of work experience abroad","Type of work performed abroad","I acquired job-relevant technical skills during my stay abroad","I improved my digital and technology-related skills abroad","My communication and language skills improved due to foreign exposure","I developed adaptability and problem-solving skills while abroad","I received formal training or certification abroad useful in India","My foreign-acquired skills are transferable to the Indian labour market","Are you currently employed?","Time taken to find first job after return(months)","How did you find your first job after returning to India","How did you find your first job after returning to India/Family or friends","How did you find your first job after returning to India/Former foreign employer / contacts","How did you find your first job after returning to India/Online job portals","How did you find your first job after returning to India/Recruitment agencies","How did you find your first job after returning to India/Government employment office","How did you find your first job after returning to India/Self-employed / started own business","How did you find your first job after returning to India/Still unemployed","What is your current occupation?","Is your current job formal or informal","Did you switch to another job from the first job you entered after returning","If yes, what is your first job","If yes, Compared to your first job after return, your previous job is","Are you currently running a business","If yes, field of business","What was the main source of funds for starting this business?","What was the main source of funds for starting this business?/Personal savings earned abroad","What was the main source of funds for starting this business?/Family or Friends","What was the main source of funds for starting this business?/Bank loan/ Microfinance/ NBFC","What was the main source of funds for starting this business?/Govt schemes/ subsidy","What was the main source of funds for starting this business?/Other","How long have you been in your current Job","Does your business currently employ any paid worker?","If yes, how many paid worker you have","Are the workers employed by your business mostly","Do you have franchisee in abroad","Current monthly income","Are you aware there are government programs which helps the return migrants","Did you register with any employment exchange or government job portal after returning","Have you received any government support after returning? (Multiple responses allowed)","Have you received any government support after returning? (Multiple responses allowed) / Skill training","Have you received any government support after returning? (Multiple responses allowed) /Employment assistance","Have you received any government support after returning? (Multiple responses allowed) /Financial support","Have you received any government support after returning? (Multiple responses allowed) /None","Government programs helped me integrate into the labour market","To what extent are you able to use your foreign-acquired skills in your current job","My current job matches my skill level","My current job provides stable and secure employment","My employer values my foreign education or work experience","I see clear opportunities for career growth in my current job","Overall, I feel well integrated into the Indian labour market","What were the main difficulties you faced in finding suitable employment in India","What were the main difficulties you faced in finding suitable employment in India/Non-recognition of foreign qualifications","What were the main difficulties you faced in finding suitable employment in India/ Lack of suitable job opportunities","What were the main difficulties you faced in finding suitable employment in India/ Low wages offered","What were the main difficulties you faced in finding suitable employment in India/Skill mismatch","What were the main difficulties you faced in finding suitable employment in India/ Lack of networks","What were the main difficulties you faced in finding suitable employment in India/ Regional mismatch","What were the main difficulties you faced in finding suitable employment in India/None","Do you have any plan to go back abroad in future"
46,"Male","Married","Rural","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Dubai",7,2018,38,"Family or personal reasons","Yes",7,"Construction sector",2,2,3,3,1,3,"Yes",6,"Family or friends",1,0,0,0,0,0,0,"Construction sector","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,35000,"Yes","No","Financial support",0,0,1,0,"Strongly disagree",4,5,4,5,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
62,"Male","Married","Semi-urban","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Saudi Arabia",18,2009,45,"Family or personal reasons","Yes",18,"Domestic work",3,3,4,3,1,4,"Yes",1,"Self-employed / started own business",0,0,0,0,0,1,0,"Domestic work","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,30000,"Yes","No","Financial support",0,0,1,0,"Neither agree nor disagree",5,5,5,5,5,5,"Low wages offered",0,0,1,0,0,0,0,"No"
34,"Female","Married","Urban","Under-graduation","Btech","Yes","Post-graduation","UK","No",NA,"No",NA,NA,NA,NA,NA,"Yes","Both study and work","UK",8,2024,33,"Family or personal reasons","Yes",6,"Engineer",5,5,5,5,3,5,"Yes",3,"Online job portals",0,0,1,0,0,0,0,"Engineer","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"1-3year",NA,NA,NA,NA,70000,"Yes","No","None",0,0,0,1,"Strongly disagree",5,5,5,5,4,4,"Low wages offered  Lack of suitable job opportunities",0,1,1,0,0,0,0,"Not sure"
42,"Male","Married","Rural","Under-graduation","Economics","No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Dubai",6,2020,35,"End of work contracts","Yes",6,"Domestic work",2,3,4,2,1,4,"Yes",24,"Family or friends Self-employed / started own business",1,0,0,0,0,1,0,"Domestic work","Informal","Yes","Driver","Better","No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,20000,"Yes","No","None",0,0,0,0,"Strongly disagree",5,5,4,4,4,4,"Low wages offered",0,0,1,0,0,0,0,"No"
69,"Male","Married","Semi-urban","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",31,2022,65,"End of work contracts","Yes",31,"Commercial excutive",4,4,5,4,4,5,"Yes",12,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Formal","No",NA,NA,"Yes","Super market","Personal savings earned abroad",1,0,0,0,0,"1-3 years","No",NA,NA,"No",50000,"Yes","No","Financial support",0,0,1,0,"Neither agree nor disagree",4,4,4,5,4,4,"Lack of suitable job opportunities  Low wages offered  Regional mismatch",0,1,1,0,0,1,0,"No"
52,"Male","Married","Semi-urban","Other","Mechanical","No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Saudi Arabia",16,2018,45,"Family or personal reasons","Yes",16,"Mechanic",4,4,5,3,1,5,"Yes",12,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Formal","Yes","Mechanic","Better","Yes","Workshop","Personal savings earned abroad",1,0,0,0,0,"More than 3 year",NA,NA,NA,NA,40000,"Yes","No","None",0,0,0,1,"Strongly disagree",2,2,3,1,2,3,"Lack of suitable job opportunities  Low wages offered Skill mismatch",0,1,1,1,0,0,0,"No"
42,"Male","Married","Rural","Secondary or below",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",12,2020,37,"Covid 19 or other external shocks","Yes",12,"Construction sector",2,2,4,2,1,4,"Yes",24,"Family or friends",1,0,0,0,0,0,0,"Construction sector","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,25000,"Yes","No","None",0,0,0,1,"Strongly disagree",5,4,3,4,3,4,"Lack of suitable job opportunities  Low wages offered",0,1,1,0,0,0,0,"No"
45,"Male","Married","Rural","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Oman",12,2024,44,"End of work contracts","Yes",12,"Driver",3,3,4,3,3,4,"Yes",4,"Self-employed / started own business",0,0,0,0,0,1,0,"Driver","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"6-1 year",NA,NA,NA,NA,20000,"Yes","No","None",0,0,0,1,"Strongly disagree",5,5,5,5,4,4,"Lack of suitable job opportunities  Low wages offered",0,1,1,0,0,0,0,"No"
48,"Male","Married","Rural","Other","Polytechnic","No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Saudi Arabia",10,2020,40,"Covid 19 or other external shocks","Yes",10,"Mechanic",4,4,4,4,1,4,"Yes",6,"Self-employed / started own business",0,0,0,0,0,1,0,"Business","Formal","No",NA,NA,"Yes","Akshaya","Personal savings earned abroad Bank loan/ Microfinance/ NBFC Govt schemes/ subsidy",1,0,1,1,0,"More than 3 year","Yes","3-5","Both family and non-family hired workers","No",35000,"Yes","No","Financial support",0,0,1,0,"Neither agree nor disagree",2,2,4,1,4,4,"Lack of suitable job opportunities  Low wages offered Skill mismatch",0,1,1,1,0,0,0,"No"
39,"Male","Single","Rural","Higher secondary",NA,"No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Dubai",12,2022,36,"Other","Yes",12,"Shop assistant",3,4,5,3,2,5,"Yes",0,"Former foreign employer / contacts",0,1,0,0,0,0,0,"Shop assistant","Formal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"More than 3 year",NA,NA,NA,NA,26000,"Yes","No","None",0,0,0,1,"Strongly disagree",5,4,5,5,5,5,"None",0,0,0,0,0,0,1,"No"
45,"Male","Married","Rural","Other","Polytechnic","No",NA,NA,"No",NA,"No",NA,NA,NA,NA,NA,"Yes","Employment","Saudi Arabia",15,2025,45,"Family or personal reasons","Yes",15,"Domestic work",5,4,5,4,3,5,"Yes",0,"Self-employed / started own business",0,0,0,0,0,1,0,"Domestic work","Informal","No",NA,NA,"No","Nill",NA,NA,NA,NA,NA,NA,"Less than 6 month",NA,NA,NA,NA,30000,"Yes","No","None",0,0,0,1,"Strongly disagree",4,5,4,4,4,3,"Lack of suitable job opportunities  Low wages offered",0,1,1,0,0,0,0,"No"
